,,,,,,,
Year,Aluminum,Copper,Lead,Manganese,Nickel,Tin,Zinc
2003,7.58,22.78,24.39,114.38,37.02,36.48,41.01
2004,8.86,35.71,40.76,202.74,51.75,61.64,50.56
2005,9.47,44.34,43.55,128.09,53.51,51.92,64.42
2006,12.42,78.65,55.79,113.44,84.63,59.62,147.64
2007,12.39,81.02,108.58,255.65,126.67,95.98,142.83
2008,11.65,76.19,84.87,351.27,69.45,117.75,79.78
2009,7.57,56.7,69.96,183.95,48.37,87.05,70.44
2010,9.7,81.43,86,209,70.74,128.23,90.28
2011,10.39,92.4,93.16,255.47,72.03,159,88.95
2012,8.58,81.66,78.46,212.17,54.04,126.23,77.4
2013,7.72,74.13,80.18,165.16,45.63,131.31,74.72
2014,7.68,68.29,77.27,159.73,50.47,127,83.19
2015,6.84,54.77,65.85,149.09,35.4,93.06,74.27
2016,6.51,47.78,67.89,114.21,28.27,102.59,79.36
2017,7.81,59.29,82.43,124.63,30.03,112.36,107.48
2018,8.17,61.26,77.89,135.47,36.94,110.14,106.06
2019,6.83,55.38,68.17,141.3,38.49,100.21,90.91
2020,6.41,56.2,61.55,161.23,37.68,90.84,79.82
2021,8.88,81,70.89,185.96,48.2,164.09,100.99
2022,9,71.06,64.21,166.85,62.51,147.23,108.52
